être			Etre			ETRE
poison		Poison		POISON
poisson		Poisson		POISSON
poivre		Poivre		POIVRE
police		Police		POLICE
politique		Politique		POLITIQUE
pomme		Pomme		POMME
porc		Porc		PORC
position		Position		POSITION
possible		Possible		POSSIBLE
poulet		Poulet		POULET
poupée		Poupée		POUPEE
pour		Pour		POUR
pourquoi		Pourquoi		POURQUOI
pousser		Pousser		POUSSER
poussière		Poussière		POUSSIERE
pouvoir		Pouvoir		POUVOIR
pratique		Pratique		PRATIQUE
précis		Précis		PRECIS
préférer		Préférer		PREFERER
préjudice		Préjudice		PREJUDICE
premier		Premier		PREMIER
premières		Premières		PREMIERES
prendre		Prendre		PRENDRE
prénom		Prénom		PRENOM
préparer		Préparer		PREPARER
près		Près		PRES
présent		Présent		PRESENT
présenter		Présenter		PRESENTER
président		Président		PRESIDENT
presque		Presque		PRESQUE
pressé		Pressé		PRESSE
